x_m,y_m,A_Wb_per_m,Bx_T,By_T,weight,region_id,r_m
-7.199858119514328724e-04,-2.380661658148421067e-02,7.997253318890098096e-04,1.535485823396897493e-04,-3.338973741888866275e-06,1.699779249448123697e-01,1.000000000000000000e+00,2.381750139345457234e-02
-2.801018845470758592e-02,-2.983226993438552535e-02,7.962458424143493280e-04,1.888447249595093854e-04,-1.741452251259993384e-04,1.699779249448123697e-01,1.000000000000000000e+00,4.092108242344374286e-02
1.962101796100928011e-02,-2.660630472941664243e-02,7.980734406656972381e-04,1.672254610559298295e-04,1.262951479733666154e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.305873254044727066e-02
2.559486806313875443e-02,3.777033517160145737e-02,7.949663743204544390e-04,-2.364009291666342044e-04,1.604816702057613824e-04,1.699779249448123697e-01,1.000000000000000000e+00,4.562560125789680288e-02
-4.036738018551346875e-03,-4.164573809137262633e-02,7.960067708231167430e-04,2.605612677411548502e-04,-2.769357622132435210e-05,1.699779249448123697e-01,1.000000000000000000e+00,4.184092201428671332e-02
9.788818122682015066e-03,2.617433176255231156e-02,7.990531633184235448e-04,-1.663060091591163532e-04,6.039137446347335019e-05,1.699779249448123697e-01,1.000000000000000000e+00,2.794488510363037082e-02
-5.932646482960550645e-03,4.522668691377048494e-02,7.949701863863693242e-04,-2.845267537069511325e-04,-3.983148268066857199e-05,1.699779249448123697e-01,1.000000000000000000e+00,4.561413710121021980e-02
-1.118083134959359064e-02,-4.343846111539806376e-02,7.951857958380925944e-04,2.739655679200855625e-04,-6.857892176048428529e-05,1.699779249448123697e-01,1.000000000000000000e+00,4.485432971009604280e-02
3.088345324386230009e-02,-3.861122027287809851e-03,7.984633188322677860e-04,2.200884747955138970e-05,1.931823859931978483e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.112388066381562013e-02
-2.051986223389107300e-02,-1.731344892641963409e-02,7.992424307378002751e-04,1.096711921775806668e-04,-1.320583557393389756e-04,1.699779249448123697e-01,1.000000000000000000e+00,2.684809601863063708e-02
3.890836432359837810e-02,1.387003769279579642e-02,7.961469233786404396e-04,-8.526779978661616166e-05,2.411885320980037964e-04,1.699779249448123697e-01,1.000000000000000000e+00,4.130664304851507790e-02
-1.391874569775834389e-02,-1.247596598361858274e-02,8.004095628216882077e-04,7.895317368225427583e-05,-8.383817110005913509e-05,1.699779249448123697e-01,1.000000000000000000e+00,1.869174173327018892e-02
2.156873898141627860e-02,5.878775802776019417e-03,7.999366709432816254e-04,-3.879544555600689495e-05,1.333774324822684565e-04,1.699779249448123697e-01,1.000000000000000000e+00,2.235554754837758284e-02
3.202839005222731829e-03,-2.854382014401303860e-03,8.014487473877990710e-04,1.633625391578460534e-05,2.192723991981206696e-05,1.699779249448123697e-01,1.000000000000000000e+00,4.290183489958650405e-03
-1.114428073525105915e-02,-4.293152630234869926e-02,7.953257540629584971e-04,2.685739341316551983e-04,-6.929005796860832978e-05,1.699779249448123697e-01,1.000000000000000000e+00,4.435437908206298074e-02
1.893483760105489980e-02,3.610538833057688746e-02,7.962856031989822827e-04,-2.230187414581876111e-04,1.195298554922036890e-04,1.699779249448123697e-01,1.000000000000000000e+00,4.076919353482578307e-02
3.520550420194519525e-02,2.287981469445626859e-02,7.959682227409515306e-04,-1.453985522641516252e-04,2.193685167368758407e-04,1.699779249448123697e-01,1.000000000000000000e+00,4.198706284757053320e-02
1.791869010103982682e-02,4.038246058151753748e-02,7.953748802130757717e-04,-2.555535574520425321e-04,1.150388931686384202e-04,1.699779249448123697e-01,1.000000000000000000e+00,4.417943613894274868e-02
3.360529761633165163e-02,-4.239505981081322268e-03,7.979021406674471645e-04,2.503134481363081189e-05,2.125139368194935380e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.387166129444864338e-02
-3.643651670901760370e-02,9.707380696960213329e-03,7.970397093528127459e-04,-5.854860260742850495e-05,-2.291446678589793829e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.770746597004676071e-02
3.972704942970553717e-03,-1.826773414398296519e-02,8.004081560031895987e-04,1.144234107875102889e-04,2.486860713333386878e-05,1.699779249448123697e-01,1.000000000000000000e+00,1.869471838031115662e-02
-1.107740156777839262e-02,-1.279126101469727807e-02,8.006066133880668321e-04,7.987461060921974992e-05,-6.951009759403550424e-05,1.699779249448123697e-01,1.000000000000000000e+00,1.692114605574733532e-02
-3.671934123178468429e-02,-1.796377977987752284e-02,7.962565597723497441e-04,1.139861774121068180e-04,-2.310032270014882689e-04,1.699779249448123697e-01,1.000000000000000000e+00,4.087795744011898935e-02
2.101168196095776555e-02,2.713392224742662215e-02,7.978070928941466801e-04,-1.670821843271321817e-04,1.313507494764241945e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.431822424540394850e-02
3.544996670583051152e-02,-1.250560381422985076e-02,7.970674169185979971e-04,8.097165185497506217e-05,2.243293709480844507e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.759109291046180273e-02
-1.386434708910398370e-02,4.147622238503547581e-02,7.954987883757475573e-04,-2.628241990454989853e-04,-8.446273063344292612e-05,1.699779249448123697e-01,1.000000000000000000e+00,4.373210655273838954e-02
-3.514369456456490487e-02,-1.875410707962521170e-02,7.965230825431559485e-04,1.149073261752676792e-04,-2.166698458486741516e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.983460555850248941e-02
-1.154567971633419475e-02,-3.536447061010271342e-02,7.971593282572538193e-04,2.201102734485504021e-04,-7.544471621610706995e-05,1.699779249448123697e-01,1.000000000000000000e+00,3.720145832685849835e-02
-2.212282809073555512e-02,-3.014296566582817111e-02,7.971148018785888375e-04,1.874049791879858588e-04,-1.411674266464683295e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.739007758568486939e-02
2.566778546259143243e-02,-1.005186721972143801e-02,7.991190448217325246e-04,6.441643295973275066e-05,1.606526599705951884e-04,1.699779249448123697e-01,1.000000000000000000e+00,2.756583474441741746e-02
5.228687365725131694e-03,7.050206724015610320e-03,8.012656981772329394e-04,-3.986144754158787859e-05,3.376244289498380298e-05,1.699779249448123697e-01,1.000000000000000000e+00,8.777504566780272230e-03
-3.299680382834089404e-02,-1.733323453627001135e-03,7.980764562315605538e-04,1.236172485696068117e-05,-2.059588147245896954e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.304229824151016376e-02
-1.907720623977986890e-02,1.313475862487496065e-02,7.998219451870449900e-04,-8.019753466205828407e-05,-1.229314861441233085e-04,1.699779249448123697e-01,1.000000000000000000e+00,2.316164247303768159e-02
-3.153812305083667639e-02,5.164145983788102391e-03,7.982981358767491081e-04,-3.517035086453248647e-05,-1.977632834179089303e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.195812274385950724e-02
3.382604028471971475e-02,3.145324596646480869e-02,7.948047938303351000e-04,-1.938062885497550609e-04,2.131646199398606304e-04,1.699779249448123697e-01,1.000000000000000000e+00,4.618990888895988661e-02
1.609586847369270241e-02,1.804914770123335413e-02,7.996688459218433305e-04,-1.139081480763621201e-04,1.001841154958600156e-04,1.699779249448123697e-01,1.000000000000000000e+00,2.418364560324501658e-02
-2.118691913926818576e-03,1.188562151494511332e-02,8.010482057868870479e-04,-7.492796336884530498e-05,-1.331045869685651206e-05,1.699779249448123697e-01,1.000000000000000000e+00,1.207298033721023942e-02
-8.937950983912040445e-03,2.497143893058982947e-02,7.992966962231591067e-04,-1.542446147911604403e-04,-5.651006115694040533e-05,1.699779249448123697e-01,1.000000000000000000e+00,2.652281527392956820e-02
-2.435961252919055867e-02,1.185722024103505814e-02,7.992007057850381794e-04,-7.337457483063001466e-05,-1.552277097471601826e-04,1.699779249448123697e-01,1.000000000000000000e+00,2.709214636046227212e-02
-3.118230968828078833e-02,-2.612383680322222582e-02,7.963095484759536010e-04,1.610022172617854271e-04,-1.918743003599593432e-04,1.699779249448123697e-01,1.000000000000000000e+00,4.067912593477443495e-02
-2.474353248614748202e-02,-2.793453026202804071e-02,7.971326401925798132e-04,1.724339143412445031e-04,-1.525360143246374687e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.731729332163837703e-02
-3.764503553367821304e-02,2.329370778631299765e-02,7.953496465142154180e-04,-1.479768471691959538e-04,-2.357257352038379648e-04,1.699779249448123697e-01,1.000000000000000000e+00,4.426901312166371671e-02
-3.424069192901106617e-02,2.209884311544443175e-02,7.962886709755594324e-04,-1.395644966191951020e-04,-2.157134982186681166e-04,1.699779249448123697e-01,1.000000000000000000e+00,4.075271587046033067e-02
6.438483289661233420e-03,3.121719216279595505e-02,7.983149864147732686e-04,-1.962476093630214475e-04,3.765262944997385805e-05,1.699779249448123697e-01,1.000000000000000000e+00,3.187423965524787545e-02
-3.834401238440355436e-02,-2.376526195794597535e-02,7.951130246665984776e-04,1.506951429082999463e-04,-2.405560397578194922e-04,1.699779249448123697e-01,1.000000000000000000e+00,4.511153911877854861e-02
-8.353967726068469574e-03,1.864520107161803109e-02,8.001963280215620413e-04,-1.186602609056846088e-04,-5.674306367462214303e-05,1.699779249448123697e-01,1.000000000000000000e+00,2.043116002015695279e-02
7.342680070735212693e-03,1.692699682010705489e-03,8.013281003173871242e-04,-8.739493225562906142e-06,4.717605857091722397e-05,1.699779249448123697e-01,1.000000000000000000e+00,7.535262625459793369e-03
-1.307476760678417775e-02,7.360034236855934713e-03,8.008000253166413108e-04,-4.395070522102374679e-05,-8.518359882610510427e-05,1.699779249448123697e-01,1.000000000000000000e+00,1.500398786786714261e-02
-4.193581769197596287e-02,6.876450464918785858e-03,7.958329425124543739e-04,-4.305813074082125223e-05,-2.650721159391607640e-04,1.699779249448123697e-01,1.000000000000000000e+00,4.249586305149156279e-02
5.190704400104799963e-03,3.358198420968006720e-02,7.978794108444734953e-04,-2.123984063139617326e-04,3.560814303342236810e-05,1.699779249448123697e-01,1.000000000000000000e+00,3.398077508869491031e-02
-1.803412525780812015e-02,-8.828916908074947723e-03,8.002406327291156519e-04,5.767721181517900008e-05,-1.102170193908171095e-04,1.699779249448123697e-01,1.000000000000000000e+00,2.007932886288793517e-02
-3.241285557080167412e-02,-1.421332936031386926e-02,7.975712630634990011e-04,8.891368117118324125e-05,-2.057459262840106648e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.539225816133253349e-02
-5.796092757545040670e-03,-1.863291618423844678e-02,8.003106057280565122e-04,1.140197536551323005e-04,-3.676524871334640424e-05,1.699779249448123697e-01,1.000000000000000000e+00,1.951359159106598462e-02
-2.495715806411051216e-02,-3.343562769049421984e-02,7.960373498643491703e-04,2.113044634698019197e-04,-1.570900642985673947e-04,1.699779249448123697e-01,1.000000000000000000e+00,4.172290663046308162e-02
-1.921520928469847705e-02,-2.731604695193493720e-02,7.980033576569562801e-04,1.742764661366612354e-04,-1.238805089024221692e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.339746530704203881e-02
-1.247308334696314858e-02,2.823075020365057447e-02,7.985148419978274235e-04,-1.734187542408870846e-04,-7.788551262280302894e-05,1.699779249448123697e-01,1.000000000000000000e+00,3.086345841348967292e-02
6.397886470743081866e-03,-2.669919983027907451e-02,7.991395600772438403e-04,1.703622140081377555e-04,3.668638732137905151e-05,1.699779249448123697e-01,1.000000000000000000e+00,2.745505823832270625e-02
-3.781774833220204884e-02,-1.206334919827201438e-02,7.965561540216237104e-04,7.630813747971908494e-05,-2.357651087641699558e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.969516951465532073e-02
-2.732608833455982267e-02,1.256250065533569271e-02,7.986646537788652826e-04,-7.967969311919506214e-05,-1.702371135015891528e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.007543061010891153e-02
-1.040040630266374916e-02,-1.053358187084358667e-02,8.008190994898817510e-04,6.792690205201674112e-05,-6.154816060395382942e-05,1.699779249448123697e-01,1.000000000000000000e+00,1.480286452988922342e-02
-1.100295664287328709e-02,1.318899921966556685e-02,8.005797691825010517e-04,-8.399734422933277113e-05,-7.130404478845951514e-05,1.699779249448123697e-01,1.000000000000000000e+00,1.717599357537398161e-02
-4.888118361641570486e-02,-3.920975596970651886e-03,7.939518397765319389e-04,2.764667652741877141e-05,-3.071100865078139116e-04,6.799116997792494788e-01,1.000000000000000000e+00,4.903819084523598076e-02
-3.976420638655208187e-03,-4.749357646749183953e-02,7.943710503356491565e-04,3.003406943987811661e-04,-2.767530083492172031e-05,6.799116997792494788e-01,1.000000000000000000e+00,4.765974954580665807e-02
3.161541230550982823e-02,-2.738126255817090182e-02,7.960123669136143134e-04,1.739386277484351840e-04,2.029321978809152545e-04,1.699779249448123697e-01,1.000000000000000000e+00,4.182424935999299459e-02
2.267431964813856893e-02,-1.226988720986612290e-02,7.994180488253786179e-04,7.754459917305637324e-05,1.433658390742164192e-04,1.699779249448123697e-01,1.000000000000000000e+00,2.578128979800659720e-02
-4.921055485235731330e-02,-1.123492097187152880e-03,7.938948296765328382e-04,9.471594592195620513e-06,-3.089896040003856960e-04,6.799116997792494788e-01,1.000000000000000000e+00,4.922337801664276175e-02
-4.376588088811730198e-02,-5.605794323877312003e-03,7.953914252833755747e-04,3.794392580811845397e-05,-2.784763567258808172e-04,1.699779249448123697e-01,1.000000000000000000e+00,4.412343209582054310e-02
1.304934927956915777e-02,-4.027331568516922394e-02,7.958761499959789024e-04,2.550556775688549898e-04,8.057395845665384906e-05,1.699779249448123697e-01,1.000000000000000000e+00,4.233468404154552833e-02
-1.320504524825211537e-02,3.080633920723275382e-02,7.979774234419924686e-04,-1.916714640291465165e-04,-8.493268629250513130e-05,1.699779249448123697e-01,1.000000000000000000e+00,3.351721580560461378e-02
1.361469930777735142e-02,-2.225407529805955784e-02,7.993679603202555458e-04,1.396440117942256099e-04,8.490663269815518254e-05,1.699779249448123697e-01,1.000000000000000000e+00,2.608838639342988749e-02
-1.551293169569853934e-02,5.712754049841958044e-04,8.007502360576548980e-04,-1.802396635430805684e-06,-9.406003655632085426e-05,1.699779249448123697e-01,1.000000000000000000e+00,1.552344695561357069e-02
3.546268085753464389e-02,3.160544664699820733e-02,7.944184310786318523e-04,-1.944261409147889368e-04,2.231915369991925612e-04,6.799116997792494788e-01,1.000000000000000000e+00,4.750269456946210056e-02
