r_m,r_cm,A_Wb_per_m,Btheta_T,region_id,weight
4.599999999999999922e-02,4.599999999999999645e+00,7.949774036016024311e-04,2.890293698609234098e-04,1.000000000000000000e+00,1.000000000000000000e+00
4.700000000000000011e-02,4.700000000000000178e+00,7.946852326696884732e-04,2.953124946177300143e-04,1.000000000000000000e+00,1.000000000000000000e+00
4.800000000000000100e-02,4.799999999999999822e+00,7.943867786117363985e-04,3.015956218972582338e-04,1.000000000000000000e+00,1.000000000000000000e+00
4.850000000000000144e-02,4.850000000000000533e+00,7.942351954097263923e-04,3.047371864341996413e-04,1.000000000000000000e+00,1.000000000000000000e+00
4.900000000000000189e-02,4.900000000000000355e+00,7.940820414253021986e-04,3.078787515453345193e-04,1.000000000000000000e+00,1.000000000000000000e+00
4.950000000000000233e-02,4.950000000000000178e+00,7.939273166581810575e-04,3.110203172128819522e-04,1.000000000000000000e+00,6.000000000000000000e+00
5.000000000000000278e-02,5.000000000000000000e+00,7.937710211080893164e-04,3.125936920622335367e-04,1.000000000000000000e+00,6.000000000000000000e+00
5.050000000000000322e-02,5.050000000000000711e+00,7.936147229661188237e-04,3.110564007687300898e-04,2.000000000000000000e+00,6.000000000000000000e+00
5.100000000000000366e-02,5.100000000000000533e+00,7.934599647073205860e-04,3.080066809253145517e-04,2.000000000000000000e+00,2.000000000000000000e+00
5.150000000000000411e-02,5.150000000000000355e+00,7.933067162851935089e-04,3.050161831708288955e-04,2.000000000000000000e+00,2.000000000000000000e+00
5.200000000000000455e-02,5.200000000000000178e+00,7.931549485241497568e-04,3.020831990154802848e-04,2.000000000000000000e+00,2.000000000000000000e+00
5.299999999999999850e-02,5.299999999999999822e+00,7.928557424390876096e-04,2.963832599357218707e-04,2.000000000000000000e+00,2.000000000000000000e+00
5.399999999999999939e-02,5.400000000000000355e+00,7.925621292377023732e-04,2.908944435450665981e-04,2.000000000000000000e+00,2.000000000000000000e+00
5.500000000000000028e-02,5.500000000000000000e+00,7.922739036633545629e-04,2.856052330806000956e-04,2.000000000000000000e+00,5.000000000000000000e+00
5.550000000000000072e-02,5.549999999999999822e+00,7.921317501496166411e-04,2.830321080701193241e-04,2.000000000000000000e+00,5.000000000000000000e+00
5.600000000000000117e-02,5.600000000000000533e+00,7.919908715552844434e-04,2.805049344926184292e-04,2.000000000000000000e+00,5.000000000000000000e+00
5.650000000000000161e-02,5.650000000000000355e+00,7.918512452151240224e-04,2.780224923016810855e-04,2.000000000000000000e+00,5.000000000000000000e+00
5.700000000000000205e-02,5.700000000000000178e+00,7.917128490629827620e-04,2.755836042638663548e-04,2.000000000000000000e+00,5.000000000000000000e+00
5.750000000000000250e-02,5.750000000000000000e+00,7.915756616108601557e-04,2.731871340969167696e-04,2.000000000000000000e+00,5.000000000000000000e+00
5.800000000000000294e-02,5.800000000000000711e+00,7.914396619288858450e-04,2.708319847043517189e-04,2.000000000000000000e+00,5.000000000000000000e+00
5.850000000000000339e-02,5.850000000000000533e+00,7.913048296261558038e-04,2.685170965005922571e-04,2.000000000000000000e+00,5.000000000000000000e+00
5.900000000000000383e-02,5.900000000000000355e+00,7.911711448323852525e-04,2.662414458215205029e-04,2.000000000000000000e+00,5.000000000000000000e+00
5.950000000000000427e-02,5.950000000000000178e+00,7.910385881803342831e-04,2.640040434152720575e-04,2.000000000000000000e+00,5.000000000000000000e+00
5.999999999999999778e-02,6.000000000000000000e+00,7.909071407889699820e-04,2.618039330077209553e-04,2.000000000000000000e+00,5.000000000000000000e+00
6.049999999999999822e-02,6.049999999999999822e+00,7.907767842473265637e-04,2.596401899398633178e-04,2.000000000000000000e+00,5.000000000000000000e+00
6.099999999999999867e-02,6.099999999999999645e+00,7.906475005990301185e-04,2.575119198720873370e-04,2.000000000000000000e+00,5.000000000000000000e+00
6.149999999999999911e-02,6.150000000000000355e+00,7.905192723274544761e-04,2.554182575515348812e-04,2.000000000000000000e+00,5.000000000000000000e+00
6.199999999999999956e-02,6.200000000000000178e+00,7.903920823414785834e-04,2.533583656385682194e-04,2.000000000000000000e+00,5.000000000000000000e+00
6.250000000000000000e-02,6.250000000000000000e+00,7.902659139618159077e-04,2.513314335913410368e-04,2.000000000000000000e+00,5.000000000000000000e+00
6.300000000000000044e-02,6.299999999999999822e+00,7.901407509078872422e-04,2.493366766007866411e-04,2.000000000000000000e+00,5.000000000000000000e+00
6.350000000000000089e-02,6.349999999999999645e+00,7.900165772852151208e-04,2.473733345784068140e-04,2.000000000000000000e+00,5.000000000000000000e+00
6.400000000000000133e-02,6.400000000000000355e+00,7.898933775733088351e-04,2.454406711908981974e-04,2.000000000000000000e+00,5.000000000000000000e+00
6.450000000000000178e-02,6.450000000000000178e+00,7.897711366140242224e-04,2.435379729373878237e-04,2.000000000000000000e+00,5.000000000000000000e+00
6.500000000000000222e-02,6.500000000000000000e+00,7.896498396003714471e-04,2.416645482735061811e-04,2.000000000000000000e+00,5.000000000000000000e+00
6.550000000000000266e-02,6.550000000000000711e+00,7.895294720657507160e-04,2.398197267731905138e-04,2.000000000000000000e+00,2.000000000000000000e+00
6.600000000000000311e-02,6.600000000000000533e+00,7.894100198735982564e-04,2.380028583261583740e-04,2.000000000000000000e+00,2.000000000000000000e+00
6.650000000000000355e-02,6.650000000000000355e+00,7.892914692074245574e-04,2.362133123762555961e-04,2.000000000000000000e+00,2.000000000000000000e+00
6.700000000000000400e-02,6.700000000000000178e+00,7.891738065612220005e-04,2.344504771915713933e-04,2.000000000000000000e+00,2.000000000000000000e+00
6.750000000000000444e-02,6.750000000000000000e+00,7.890570187302329858e-04,2.327137591663205798e-04,2.000000000000000000e+00,2.000000000000000000e+00
6.800000000000000488e-02,6.800000000000000711e+00,7.889410928020556798e-04,2.310025821556855371e-04,2.000000000000000000e+00,2.000000000000000000e+00
6.850000000000000533e-02,6.850000000000000533e+00,7.888260161480773001e-04,2.293163868367874541e-04,2.000000000000000000e+00,2.000000000000000000e+00
6.900000000000000577e-02,6.900000000000000355e+00,7.887117764152188921e-04,2.276546301003405149e-04,2.000000000000000000e+00,2.000000000000000000e+00
6.950000000000000622e-02,6.950000000000001066e+00,7.885983615179769594e-04,2.260167844677847028e-04,2.000000000000000000e+00,2.000000000000000000e+00
7.000000000000000666e-02,7.000000000000000888e+00,7.884857596307511072e-04,2.244023375319460615e-04,2.000000000000000000e+00,2.000000000000000000e+00
7.050000000000000711e-02,7.050000000000000711e+00,7.883739591804450131e-04,2.228107914226333368e-04,2.000000000000000000e+00,2.000000000000000000e+00
7.100000000000000755e-02,7.100000000000000533e+00,7.882629488393284737e-04,2.212416622953282581e-04,2.000000000000000000e+00,2.000000000000000000e+00
7.150000000000000799e-02,7.150000000000000355e+00,7.881527175181496847e-04,2.196944798405840564e-04,2.000000000000000000e+00,2.000000000000000000e+00
7.200000000000000844e-02,7.200000000000001066e+00,7.880432543594878894e-04,2.181687868137015967e-04,2.000000000000000000e+00,2.000000000000000000e+00
7.249999999999999500e-02,7.249999999999999112e+00,7.879345487313359859e-04,2.166641385846648869e-04,2.000000000000000000e+00,2.000000000000000000e+00
7.299999999999999545e-02,7.299999999999999822e+00,7.878265902209032273e-04,2.151801027054513042e-04,2.000000000000000000e+00,2.000000000000000000e+00
7.349999999999999589e-02,7.349999999999999645e+00,7.877193686286305344e-04,2.137162584959745152e-04,2.000000000000000000e+00,2.000000000000000000e+00
7.399999999999999634e-02,7.399999999999999467e+00,7.876128739624072526e-04,2.122721966470347322e-04,2.000000000000000000e+00,2.000000000000000000e+00
7.449999999999999678e-02,7.449999999999999289e+00,7.875070964319834995e-04,2.108475188379326144e-04,2.000000000000000000e+00,2.000000000000000000e+00
7.499999999999999722e-02,7.500000000000000000e+00,7.874020264435693198e-04,2.094418373704396059e-04,2.000000000000000000e+00,2.000000000000000000e+00
7.549999999999999767e-02,7.549999999999999822e+00,7.872976545946130597e-04,2.080547748168659107e-04,2.000000000000000000e+00,2.000000000000000000e+00
7.599999999999999811e-02,7.599999999999999645e+00,7.871939716687524537e-04,2.066859636830904571e-04,2.000000000000000000e+00,2.000000000000000000e+00
7.649999999999999856e-02,7.649999999999999467e+00,7.870909686309299691e-04,2.053350460824328848e-04,2.000000000000000000e+00,2.000000000000000000e+00
7.699999999999999900e-02,7.700000000000000178e+00,7.869886366226700207e-04,2.040016734244875206e-04,2.000000000000000000e+00,2.000000000000000000e+00
7.749999999999999944e-02,7.750000000000000000e+00,7.868869669575054814e-04,2.026855061159919997e-04,2.000000000000000000e+00,2.000000000000000000e+00
7.799999999999999989e-02,7.799999999999999822e+00,7.867859511165540285e-04,2.013862132705863440e-04,2.000000000000000000e+00,2.000000000000000000e+00
7.850000000000000033e-02,7.849999999999999645e+00,7.866855807442348948e-04,2.001034724329919291e-04,2.000000000000000000e+00,2.000000000000000000e+00
7.900000000000000078e-02,7.900000000000000355e+00,7.865858476441210364e-04,1.988369693121893299e-04,2.000000000000000000e+00,2.000000000000000000e+00
7.950000000000000122e-02,7.950000000000000178e+00,7.864867437749227053e-04,1.975863975238119114e-04,2.000000000000000000e+00,2.000000000000000000e+00
8.000000000000000167e-02,8.000000000000000000e+00,7.863882612465972243e-04,1.963514583435981464e-04,2.000000000000000000e+00,2.000000000000000000e+00
8.050000000000000211e-02,8.050000000000000711e+00,7.862903923165791070e-04,1.951318604696262418e-04,2.000000000000000000e+00,2.000000000000000000e+00
8.100000000000000255e-02,8.099999999999999645e+00,7.861931293861275979e-04,1.939273197927884299e-04,2.000000000000000000e+00,2.000000000000000000e+00
8.150000000000000300e-02,8.150000000000000355e+00,7.860964649967863184e-04,1.927375591758305928e-04,2.000000000000000000e+00,2.000000000000000000e+00
8.200000000000000344e-02,8.200000000000001066e+00,7.860003918269517671e-04,1.915623082416075787e-04,2.000000000000000000e+00,2.000000000000000000e+00
8.250000000000000389e-02,8.250000000000000000e+00,7.859049026885447107e-04,1.904013031680605703e-04,2.000000000000000000e+00,2.000000000000000000e+00
8.300000000000000433e-02,8.300000000000000711e+00,7.858099905237837064e-04,1.892542864903501887e-04,2.000000000000000000e+00,2.000000000000000000e+00
8.350000000000000477e-02,8.349999999999999645e+00,7.857156484020543603e-04,1.881210069112295336e-04,2.000000000000000000e+00,2.000000000000000000e+00
8.400000000000000522e-02,8.400000000000000355e+00,7.856218695168724767e-04,1.870012191165129731e-04,2.000000000000000000e+00,2.000000000000000000e+00
8.450000000000000566e-02,8.450000000000001066e+00,7.855286471829378472e-04,1.858946835984596102e-04,2.000000000000000000e+00,2.000000000000000000e+00
8.500000000000000611e-02,8.500000000000000000e+00,7.854359748332740169e-04,1.848011664849030203e-04,2.000000000000000000e+00,2.000000000000000000e+00
8.550000000000000655e-02,8.550000000000000711e+00,7.853438460164529440e-04,1.837204393751030421e-04,2.000000000000000000e+00,2.000000000000000000e+00
8.600000000000000699e-02,8.600000000000001421e+00,7.852522543938989137e-04,1.826522791801512180e-04,2.000000000000000000e+00,2.000000000000000000e+00
8.650000000000000744e-02,8.650000000000000355e+00,7.851611937372727926e-04,1.815964679692309261e-04,2.000000000000000000e+00,2.000000000000000000e+00
8.700000000000000788e-02,8.700000000000001066e+00,7.850706579259296826e-04,1.805527928217322037e-04,2.000000000000000000e+00,2.000000000000000000e+00
8.750000000000000833e-02,8.750000000000000000e+00,7.849806409444510602e-04,1.795210456841395542e-04,2.000000000000000000e+00,2.000000000000000000e+00
8.799999999999999489e-02,8.799999999999998934e+00,7.848911368802455454e-04,1.785010232313525148e-04,2.000000000000000000e+00,2.000000000000000000e+00
8.849999999999999534e-02,8.849999999999999645e+00,7.848021399212197101e-04,1.774925267331244169e-04,2.000000000000000000e+00,2.000000000000000000e+00
8.899999999999999578e-02,8.900000000000000355e+00,7.847136443535124208e-04,1.764953619260181098e-04,2.000000000000000000e+00,2.000000000000000000e+00
8.949999999999999623e-02,8.949999999999999289e+00,7.846256445592936918e-04,1.755093388873007793e-04,2.000000000000000000e+00,2.000000000000000000e+00
8.999999999999999667e-02,9.000000000000000000e+00,7.845381350146251199e-04,1.745342719151495828e-04,2.000000000000000000e+00,2.000000000000000000e+00
9.049999999999999711e-02,9.049999999999998934e+00,7.844511102873785420e-04,1.735699794118805814e-04,2.000000000000000000e+00,2.000000000000000000e+00
9.099999999999999756e-02,9.099999999999999645e+00,7.843645650352132391e-04,1.726162837706496128e-04,2.000000000000000000e+00,2.000000000000000000e+00
9.149999999999999800e-02,9.150000000000000355e+00,7.842784940036078923e-04,1.716730112673573350e-04,2.000000000000000000e+00,2.000000000000000000e+00
9.199999999999999845e-02,9.199999999999999289e+00,7.841928920239458816e-04,1.707399919547226736e-04,2.000000000000000000e+00,2.000000000000000000e+00
9.249999999999999889e-02,9.250000000000000000e+00,7.841077540116531694e-04,1.698170595595004562e-04,2.000000000000000000e+00,2.000000000000000000e+00
9.299999999999999933e-02,9.300000000000000711e+00,7.840230749643863810e-04,1.689040513847947966e-04,2.000000000000000000e+00,2.000000000000000000e+00
9.349999999999999978e-02,9.349999999999999645e+00,7.839388499602683745e-04,1.680008082139987824e-04,2.000000000000000000e+00,2.000000000000000000e+00
9.400000000000000022e-02,9.400000000000000355e+00,7.838550741561723821e-04,1.671071742179867957e-04,2.000000000000000000e+00,2.000000000000000000e+00
9.450000000000000067e-02,9.449999999999999289e+00,7.837717427860503875e-04,1.662229968659929868e-04,2.000000000000000000e+00,2.000000000000000000e+00
9.500000000000000111e-02,9.500000000000000000e+00,7.836888511593063890e-04,1.653481268383331611e-04,2.000000000000000000e+00,2.000000000000000000e+00
9.600000000000000200e-02,9.599999999999999645e+00,7.835243687413636846e-04,1.636257270327608237e-04,2.000000000000000000e+00,2.000000000000000000e+00
9.700000000000000289e-02,9.700000000000001066e+00,7.833615908274354752e-04,1.619388413399978942e-04,2.000000000000000000e+00,2.000000000000000000e+00
9.800000000000000377e-02,9.800000000000000711e+00,7.832004824526401848e-04,1.602863825652570508e-04,2.000000000000000000e+00,2.000000000000000000e+00
9.850000000000000422e-02,9.849999999999999645e+00,7.831205437082740381e-04,1.594727355963379588e-04,2.000000000000000000e+00,1.800000000000000000e+01
9.900000000000000466e-02,9.900000000000000355e+00,7.830410097170438467e-04,1.586673074415030323e-04,2.000000000000000000e+00,1.800000000000000000e+01
9.950000000000000511e-02,9.950000000000001066e+00,7.829618764008325349e-04,1.578699741958511751e-04,2.000000000000000000e+00,1.800000000000000000e+01
1.000000000000000056e-01,1.000000000000000000e+01,7.828831397428479954e-04,7.842269310658256387e-02,3.000000000000000000e+00,1.800000000000000000e+01
1.005000000000000060e-01,1.005000000000000071e+01,7.045391832942499068e-04,1.562991091431084056e-01,3.000000000000000000e+00,1.800000000000000000e+01
